Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	3	hour	003017045006.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	3	hour	003017045007.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	3	hour	003017045008.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	6	hour	003017050001.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	6	hour	003017050002.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	6	hour	003017050003.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	9	hour	003017043007.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	9	hour	003017043008.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	9	hour	003017043009.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	24	hour	003017043019.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	24	hour	003017043020.CEL
liver	Rattus norvegicus	methimazole	Middle	30	milligram per kilogram	24	hour	003017043021.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	3	hour	003017045009.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	3	hour	003017045010.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	3	hour	003017045011.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	6	hour	003017050004.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	6	hour	003017050005.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	6	hour	003017050006.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	9	hour	003017043010.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	9	hour	003017043011.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	9	hour	003017043012.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	24	hour	003017043022.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	24	hour	003017043023.CEL
liver	Rattus norvegicus	methimazole	High	100	milligram per kilogram	24	hour	003017043024.CEL
hepatocyte	Rattus norvegicus	methimazole	Control	0	micromolar	2	hour	003017171003.CEL
hepatocyte	Rattus norvegicus	methimazole	Control	0	micromolar	2	hour	003017171004.CEL
hepatocyte	Rattus norvegicus	methimazole	Control	0	micromolar	8	hour	003017171011.CEL
hepatocyte	Rattus norvegicus	methimazole	Control	0	micromolar	8	hour	003017171012.CEL
hepatocyte	Rattus norvegicus	methimazole	Control	0	micromolar	24	hour	003017171019.CEL
hepatocyte	Rattus norvegicus	methimazole	Control	0	micromolar	24	hour	003017171020.CEL
hepatocyte	Rattus norvegicus	methimazole	Low	400	micromolar	2	hour	003017171005.CEL
hepatocyte	Rattus norvegicus	methimazole	Low	400	micromolar	2	hour	003017171006.CEL
hepatocyte	Rattus norvegicus	methimazole	Low	400	micromolar	8	hour	003017171013.CEL
hepatocyte	Rattus norvegicus	methimazole	Low	400	micromolar	8	hour	003017171014.CEL
hepatocyte	Rattus norvegicus	methimazole	Low	400	micromolar	24	hour	003017171021.CEL
hepatocyte	Rattus norvegicus	methimazole	Low	400	micromolar	24	hour	003017171022.CEL
hepatocyte	Rattus norvegicus	methimazole	Middle	2000	micromolar	2	hour	003017171008.CEL
hepatocyte	Rattus norvegicus	methimazole	Middle	2000	micromolar	2	hour	003017182008.CEL
hepatocyte	Rattus norvegicus	methimazole	Middle	2000	micromolar	8	hour	003017171015.CEL
hepatocyte	Rattus norvegicus	methimazole	Middle	2000	micromolar	8	hour	003017171016.CEL
hepatocyte	Rattus norvegicus	methimazole	Middle	2000	micromolar	24	hour	003017171023.CEL
hepatocyte	Rattus norvegicus	methimazole	Middle	2000	micromolar	24	hour	003017171024.CEL
hepatocyte	Rattus norvegicus	methimazole	High	10000	micromolar	2	hour	003017171009.CEL
hepatocyte	Rattus norvegicus	methimazole	High	10000	micromolar	2	hour	003017171010.CEL
hepatocyte	Rattus norvegicus	methimazole	High	10000	micromolar	8	hour	003017171017.CEL
hepatocyte	Rattus norvegicus	methimazole	High	10000	micromolar	8	hour	003017171018.CEL
hepatocyte	Rattus norvegicus	methimazole	High	10000	micromolar	24	hour	003017171025.CEL
hepatocyte	Rattus norvegicus	methimazole	High	10000	micromolar	24	hour	003017171026.CEL
hepatocyte	Homo sapiens	methyldopa	Control	0	micromolar	8	hour	003016061008.CEL
hepatocyte	Homo sapiens	methyldopa	Control	0	micromolar	8	hour	003016061009.CEL
hepatocyte	Homo sapiens	methyldopa	Control	0	micromolar	24	hour	003016061014.CEL
hepatocyte	Homo sapiens	methyldopa	Control	0	micromolar	24	hour	003016061015.CEL
hepatocyte	Homo sapiens	methyldopa	Middle	10	micromolar	8	hour	003016061010.CEL
hepatocyte	Homo sapiens	methyldopa	Middle	10	micromolar	8	hour	003016061011.CEL
hepatocyte	Homo sapiens	methyldopa	Middle	10	micromolar	24	hour	003016061016.CEL
hepatocyte	Homo sapiens	methyldopa	Middle	10	micromolar	24	hour	003016061017.CEL
hepatocyte	Homo sapiens	methyldopa	High	50	micromolar	8	hour	003016061012.CEL
hepatocyte	Homo sapiens	methyldopa	High	50	micromolar	8	hour	003016061013.CEL
hepatocyte	Homo sapiens	methyldopa	High	50	micromolar	24	hour	003016061018.CEL
hepatocyte	Homo sapiens	methyldopa	High	50	micromolar	24	hour	003016061019.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	3	hour	003017080005.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	3	hour	003017080006.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	3	hour	003017080007.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	6	hour	003017080017.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	6	hour	003017080018.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	6	hour	003017080019.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	9	hour	003017079001.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	9	hour	003017079002.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	9	hour	003017096029.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	24	hour	003017079011.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	24	hour	003017079012.CEL
liver	Rattus norvegicus	methyldopa	Control	0	milligram per kilogram	24	hour	003017079013.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	3	hour	003017080008.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	3	hour	003017080009.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	3	hour	003017080010.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	6	hour	003017080020.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	6	hour	003017080021.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	6	hour	003017080022.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	9	hour	003017079003.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	9	hour	003017079004.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	9	hour	003017079005.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	24	hour	003017079027.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	24	hour	003017079028.CEL
liver	Rattus norvegicus	methyldopa	Low	60	milligram per kilogram	24	hour	003017079029.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	3	hour	003017080011.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	3	hour	003017080012.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	3	hour	003017080013.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	6	hour	003017080023.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	6	hour	003017080024.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	6	hour	003017080025.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	9	hour	003017079006.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	9	hour	003017079007.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	9	hour	003017079008.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	24	hour	003017079030.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	24	hour	003017080001.CEL
liver	Rattus norvegicus	methyldopa	Middle	200	milligram per kilogram	24	hour	003017080002.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	3	hour	003017080014.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	3	hour	003017080015.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	3	hour	003017080016.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	6	hour	003017080026.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	6	hour	003017080027.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	6	hour	003017080028.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	9	hour	003017079009.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	9	hour	003017079010.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	9	hour	003017134026.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	24	hour	003017080003.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	24	hour	003017080004.CEL
liver	Rattus norvegicus	methyldopa	High	600	milligram per kilogram	24	hour	003017096030.CEL
hepatocyte	Rattus norvegicus	methyldopa	Control	0	micromolar	2	hour	003017159030.CEL
hepatocyte	Rattus norvegicus	methyldopa	Control	0	micromolar	2	hour	003017160001.CEL
hepatocyte	Rattus norvegicus	methyldopa	Control	0	micromolar	8	hour	003017160008.CEL
hepatocyte	Rattus norvegicus	methyldopa	Control	0	micromolar	8	hour	003017160009.CEL
hepatocyte	Rattus norvegicus	methyldopa	Control	0	micromolar	24	hour	003017160016.CEL
hepatocyte	Rattus norvegicus	methyldopa	Control	0	micromolar	24	hour	003017160017.CEL
hepatocyte	Rattus norvegicus	methyldopa	Low	2	micromolar	2	hour	003017160002.CEL
hepatocyte	Rattus norvegicus	methyldopa	Low	2	micromolar	2	hour	003017160003.CEL
hepatocyte	Rattus norvegicus	methyldopa	Low	2	micromolar	8	hour	003017160010.CEL
hepatocyte	Rattus norvegicus	methyldopa	Low	2	micromolar	8	hour	003017160011.CEL
hepatocyte	Rattus norvegicus	methyldopa	Low	2	micromolar	24	hour	003017160018.CEL
hepatocyte	Rattus norvegicus	methyldopa	Low	2	micromolar	24	hour	003017160019.CEL
hepatocyte	Rattus norvegicus	methyldopa	Middle	10	micromolar	2	hour	003017160004.CEL
hepatocyte	Rattus norvegicus	methyldopa	Middle	10	micromolar	2	hour	003017160005.CEL
hepatocyte	Rattus norvegicus	methyldopa	Middle	10	micromolar	8	hour	003017160012.CEL
hepatocyte	Rattus norvegicus	methyldopa	Middle	10	micromolar	8	hour	003017160013.CEL
hepatocyte	Rattus norvegicus	methyldopa	Middle	10	micromolar	24	hour	003017160020.CEL
hepatocyte	Rattus norvegicus	methyldopa	Middle	10	micromolar	24	hour	003017160021.CEL
hepatocyte	Rattus norvegicus	methyldopa	High	50	micromolar	2	hour	003017160006.CEL
hepatocyte	Rattus norvegicus	methyldopa	High	50	micromolar	2	hour	003017160007.CEL
hepatocyte	Rattus norvegicus	methyldopa	High	50	micromolar	8	hour	003017160014.CEL
hepatocyte	Rattus norvegicus	methyldopa	High	50	micromolar	8	hour	003017160015.CEL
hepatocyte	Rattus norvegicus	methyldopa	High	50	micromolar	24	hour	003017160022.CEL
hepatocyte	Rattus norvegicus	methyldopa	High	50	micromolar	24	hour	003017160023.CEL
hepatocyte	Homo sapiens	methyltestosterone	Control	0	micromolar	2	hour	003016048018.CEL
hepatocyte	Homo sapiens	methyltestosterone	Control	0	micromolar	2	hour	003016048019.CEL
hepatocyte	Homo sapiens	methyltestosterone	Control	0	micromolar	8	hour	003016048026.CEL
hepatocyte	Homo sapiens	methyltestosterone	Control	0	micromolar	8	hour	003016048027.CEL
hepatocyte	Homo sapiens	methyltestosterone	Control	0	micromolar	24	hour	003016049004.CEL
hepatocyte	Homo sapiens	methyltestosterone	Control	0	micromolar	24	hour	003016049005.CEL
hepatocyte	Homo sapiens	methyltestosterone	Low	0.8	micromolar	2	hour	003016048020.CEL
hepatocyte	Homo sapiens	methyltestosterone	Low	0.8	micromolar	2	hour	003016048021.CEL
hepatocyte	Homo sapiens	methyltestosterone	Low	0.8	micromolar	8	hour	003016048028.CEL
hepatocyte	Homo sapiens	methyltestosterone	Low	0.8	micromolar	8	hour	003016048029.CEL
hepatocyte	Homo sapiens	methyltestosterone	Low	0.8	micromolar	24	hour	003016049006.CEL
hepatocyte	Homo sapiens	methyltestosterone	Low	0.8	micromolar	24	hour	003016049007.CEL
hepatocyte	Homo sapiens	methyltestosterone	Middle	4	micromolar	2	hour	003016048022.CEL
hepatocyte	Homo sapiens	methyltestosterone	Middle	4	micromolar	2	hour	003016048023.CEL
hepatocyte	Homo sapiens	methyltestosterone	Middle	4	micromolar	8	hour	003016048030.CEL
hepatocyte	Homo sapiens	methyltestosterone	Middle	4	micromolar	8	hour	003016049001.CEL
hepatocyte	Homo sapiens	methyltestosterone	Middle	4	micromolar	24	hour	003016049008.CEL
hepatocyte	Homo sapiens	methyltestosterone	Middle	4	micromolar	24	hour	003016049009.CEL
hepatocyte	Homo sapiens	methyltestosterone	High	20	micromolar	2	hour	003016048024.CEL
hepatocyte	Homo sapiens	methyltestosterone	High	20	micromolar	2	hour	003016048025.CEL
hepatocyte	Homo sapiens	methyltestosterone	High	20	micromolar	8	hour	003016049002.CEL
hepatocyte	Homo sapiens	methyltestosterone	High	20	micromolar	8	hour	003016049003.CEL
hepatocyte	Homo sapiens	methyltestosterone	High	20	micromolar	24	hour	003016049010.CEL
hepatocyte	Homo sapiens	methyltestosterone	High	20	micromolar	24	hour	003016049011.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	3	hour	003017018002.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	3	hour	003017018003.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	3	hour	003017018004.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	6	hour	003017020002.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	6	hour	003017020003.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	6	hour	003017020004.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	9	hour	003017025009.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	9	hour	003017025010.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	9	hour	003017025011.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	24	hour	003017025021.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	24	hour	003017025022.CEL
liver	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	24	hour	003017025023.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	3	hour	003017018005.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	3	hour	003017018006.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	3	hour	003017019001.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	6	hour	003017020005.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	6	hour	003017020006.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	6	hour	003017021001.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	9	hour	003017025012.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	9	hour	003017025013.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	9	hour	003017025014.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	24	hour	003017025024.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	24	hour	003017025025.CEL
liver	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	24	hour	003017025026.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	3	hour	003017019002.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	3	hour	003017019003.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	3	hour	003017019004.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	6	hour	003017021002.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	6	hour	003017021003.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	6	hour	003017021004.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	9	hour	003017025015.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	9	hour	003017025016.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	9	hour	003017025017.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	24	hour	003017025027.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	24	hour	003017025028.CEL
liver	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	24	hour	003017025029.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	3	hour	003017019005.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	3	hour	003017019006.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	3	hour	003017020001.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	6	hour	003017021005.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	6	hour	003017021006.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	6	hour	003017021007.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	9	hour	003017025018.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	9	hour	003017025019.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	9	hour	003017025020.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	24	hour	003017025030.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	24	hour	003017026001.CEL
liver	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	24	hour	003017026002.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	3	hour	003017178003.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	3	hour	003017178004.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	3	hour	003017178005.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	6	hour	003017178015.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	6	hour	003017178016.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	6	hour	003017178017.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	9	hour	003017179001.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	9	hour	003017179002.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	9	hour	003017179003.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	24	hour	003017179013.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	24	hour	003017179014.CEL
kidney	Rattus norvegicus	methyltestosterone	Control	0	milligram per kilogram	24	hour	003017179015.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	3	hour	003017178006.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	3	hour	003017178007.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	3	hour	003017178008.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	6	hour	003017178018.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	6	hour	003017178019.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	6	hour	003017178020.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	9	hour	003017179004.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	9	hour	003017179005.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	9	hour	003017179006.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	24	hour	003017179016.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	24	hour	003017179017.CEL
kidney	Rattus norvegicus	methyltestosterone	Low	30	milligram per kilogram	24	hour	003017179018.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	3	hour	003017178009.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	3	hour	003017178010.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	3	hour	003017178011.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	6	hour	003017178021.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	6	hour	003017178022.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	6	hour	003017178023.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	9	hour	003017179007.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	9	hour	003017179008.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	9	hour	003017179009.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	24	hour	003017178027.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	24	hour	003017179019.CEL
kidney	Rattus norvegicus	methyltestosterone	Middle	100	milligram per kilogram	24	hour	003017179020.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	3	hour	003017178012.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	3	hour	003017178013.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	3	hour	003017178014.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	6	hour	003017178024.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	6	hour	003017178025.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	6	hour	003017178026.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	9	hour	003017179010.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	9	hour	003017179011.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	9	hour	003017179012.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	24	hour	003017178028.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	24	hour	003017178029.CEL
kidney	Rattus norvegicus	methyltestosterone	High	300	milligram per kilogram	24	hour	003017178030.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Control	0	micromolar	2	hour	003017098021.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Control	0	micromolar	2	hour	003017098022.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Control	0	micromolar	8	hour	003017098029.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Control	0	micromolar	8	hour	003017098030.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Control	0	micromolar	24	hour	003017099007.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Control	0	micromolar	24	hour	003017099008.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Low	01.cze	micromolar	2	hour	003017098023.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Low	01.cze	micromolar	2	hour	003017098024.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Low	01.cze	micromolar	8	hour	003017099001.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Low	01.cze	micromolar	8	hour	003017099002.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Low	01.cze	micromolar	24	hour	003017099009.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Low	01.cze	micromolar	24	hour	003017099010.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Middle	8	micromolar	2	hour	003017098025.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Middle	8	micromolar	2	hour	003017098026.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Middle	8	micromolar	8	hour	003017099003.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Middle	8	micromolar	8	hour	003017099004.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Middle	8	micromolar	24	hour	003017099011.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	Middle	8	micromolar	24	hour	003017099012.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	High	40	micromolar	2	hour	003017098027.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	High	40	micromolar	2	hour	003017098028.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	High	40	micromolar	8	hour	003017099005.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	High	40	micromolar	8	hour	003017099006.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	High	40	micromolar	24	hour	003017099013.CEL
hepatocyte	Rattus norvegicus	methyltestosterone	High	40	micromolar	24	hour	003017099014.CEL
hepatocyte	Homo sapiens	mexiletine	Control	0	micromolar	8	hour	003016074018.CEL
hepatocyte	Homo sapiens	mexiletine	Control	0	micromolar	8	hour	003016074019.CEL
hepatocyte	Homo sapiens	mexiletine	Control	0	micromolar	24	hour	003016074024.CEL
hepatocyte	Homo sapiens	mexiletine	Control	0	micromolar	24	hour	003016074025.CEL
hepatocyte	Homo sapiens	mexiletine	Middle	60	micromolar	8	hour	003016074020.CEL
hepatocyte	Homo sapiens	mexiletine	Middle	60	micromolar	8	hour	003016074021.CEL
hepatocyte	Homo sapiens	mexiletine	Middle	60	micromolar	24	hour	003016074026.CEL
hepatocyte	Homo sapiens	mexiletine	Middle	60	micromolar	24	hour	003016074027.CEL
hepatocyte	Homo sapiens	mexiletine	High	300	micromolar	8	hour	003016074022.CEL
hepatocyte	Homo sapiens	mexiletine	High	300	micromolar	8	hour	003016074023.CEL
hepatocyte	Homo sapiens	mexiletine	High	300	micromolar	24	hour	003016074028.CEL
hepatocyte	Homo sapiens	mexiletine	High	300	micromolar	24	hour	003016074029.CEL
liver	Rattus norvegicus	mexiletine	Control	0	milligram per kilogram	3	hour	003017265008.CEL
liver	Rattus norvegicus	mexiletine	Control	0	milligram per kilogram	3	hour	003017265009.CEL
